curve_id,x,y
fl-4.0-structure-117,17.0,52.0
fl-4.0-structure-117,18.0,54.0
fl-4.0-structure-117,19.0,56.0
fl-4.0-structure-117,20.0,58.0
fl-4.0-structure-117,21.0,60.0
fl-4.0-structure-117,22.0,62.0
fl-4.0-structure-117,23.0,64.0
fl-4.0-structure-117,24.0,66.0
fl-4.0-structure-118,-4.0,3.0
fl-4.0-structure-118,-3.0,3.0
fl-4.0-structure-118,-2.0,6.0
fl-4.0-structure-118,-1.0,10.0
fl-4.0-structure-118,0.0,11.0
fl-4.0-structure-118,1.0,14.0
fl-4.0-structure-118,2.0,20.0
fl-4.0-structure-118,3.0,25.0
fl-4.0-structure-118,4.0,31.0
fl-4.0-structure-118,5.0,36.0
fl-4.0-structure-118,6.0,38.0
fl-4.0-structure-118,7.0,41.0
fl-4.0-structure-118,8.0,44.0
fl-4.0-structure-118,9.0,47.0
fl-4.0-structure-118,10.0,50.0
fl-4.0-structure-118,11.0,52.0
fl-4.0-structure-118,12.0,54.0
fl-4.0-structure-118,13.0,56.0
fl-4.0-structure-118,14.0,58.0
fl-4.0-structure-118,15.0,60.0
fl-4.0-structure-118,16.0,62.0
fl-4.0-structure-118,17.0,64.0
fl-4.0-structure-118,18.0,66.0
fl-4.0-structure-118,19.0,68.0
fl-4.0-structure-118,20.0,70.0
fl-4.0-structure-118,21.0,72.0
fl-4.0-structure-118,22.0,74.0
fl-4.0-structure-118,23.0,76.0
fl-4.0-structure-118,24.0,78.0
fl-4.0-structure-119,-4.0,0.0
fl-4.0-structure-119,-3.0,0.0
fl-4.0-structure-119,-2.0,0.0
fl-4.0-structure-119,-1.0,0.0
fl-4.0-structure-119,0.0,3.0
fl-4.0-structure-119,1.0,9.0
fl-4.0-structure-119,2.0,13.0
fl-4.0-structure-119,3.0,25.0
fl-4.0-structure-119,4.0,27.0
fl-4.0-structure-119,5.0,28.0
fl-4.0-structure-119,6.0,32.0
fl-4.0-structure-119,7.0,37.0
fl-4.0-structure-119,8.0,41.0
fl-4.0-structure-119,9.0,43.0
fl-4.0-structure-119,10.0,45.0
fl-4.0-structure-119,11.0,47.0
fl-4.0-structure-119,12.0,49.0
fl-4.0-structure-119,13.0,51.0
fl-4.0-structure-119,14.0,53.0
fl-4.0-structure-119,15.0,55.0
fl-4.0-structure-119,16.0,57.0
fl-4.0-structure-119,17.0,59.0
fl-4.0-structure-119,18.0,61.0
fl-4.0-structure-119,19.0,63.0
fl-4.0-structure-119,20.0,65.0
fl-4.0-structure-119,21.0,67.0
fl-4.0-structure-119,22.0,69.0
fl-4.0-structure-119,23.0,71.0
fl-4.0-structure-119,24.0,73.0
fl-4.0-structure-120,-4.0,6.0
fl-4.0-structure-120,-3.0,6.0
fl-4.0-structure-120,-2.0,6.0
fl-4.0-structure-120,-1.0,14.0
fl-4.0-structure-120,0.0,15.0
fl-4.0-structure-120,1.0,24.0
fl-4.0-structure-120,2.0,27.0
fl-4.0-structure-120,3.0,30.0
fl-4.0-structure-120,4.0,35.0
fl-4.0-structure-120,5.0,41.0
fl-4.0-structure-120,6.0,44.0
fl-4.0-structure-120,7.0,48.0
fl-4.0-structure-120,8.0,52.0
fl-4.0-structure-120,9.0,57.0
fl-4.0-structure-120,10.0,59.0
fl-4.0-structure-120,11.0,61.0
fl-4.0-structure-120,12.0,63.0
fl-4.0-structure-120,13.0,65.0
fl-4.0-structure-120,14.0,67.0
fl-4.0-structure-120,15.0,69.0
fl-4.0-structure-120,16.0,71.0
fl-4.0-structure-120,17.0,73.0
fl-4.0-structure-120,18.0,75.0
fl-4.0-structure-120,19.0,77.0
fl-4.0-structure-120,20.0,79.0
fl-4.0-structure-120,21.0,81.0
fl-4.0-structure-120,22.0,83.0
fl-4.0-structure-120,23.0,85.0
fl-4.0-structure-120,24.0,87.0
fl-4.0-structure-121,-4.0,0.0
fl-4.0-structure-121,-3.0,0.0
fl-4.0-structure-121,-2.0,0.0
fl-4.0-structure-121,-1.0,0.0
fl-4.0-structure-121,0.0,6.0
fl-4.0-structure-121,1.0,10.0
fl-4.0-structure-121,2.0,18.0
fl-4.0-structure-121,3.0,23.0
fl-4.0-structure-121,4.0,27.0
fl-4.0-structure-121,5.0,32.0
fl-4.0-structure-121,6.0,39.0
fl-4.0-structure-121,7.0,39.0
fl-4.0-structure-121,8.0,43.0
fl-4.0-structure-121,9.0,44.0
fl-4.0-structure-121,10.0,44.0
fl-4.0-structure-121,11.0,46.0
fl-4.0-structure-121,12.0,47.0
fl-4.0-structure-121,13.0,48.0
fl-4.0-structure-121,14.0,49.0
fl-4.0-structure-121,15.0,50.0
fl-4.0-structure-121,16.0,51.0
fl-4.0-structure-121,17.0,52.0
fl-4.0-structure-121,18.0,53.0
fl-4.0-structure-121,19.0,54.0
fl-4.0-structure-121,20.0,55.0
fl-4.0-structure-121,21.0,56.0
fl-4.0-structure-121,22.0,57.0
fl-4.0-structure-121,23.0,58.0
fl-4.0-structure-121,24.0,59.0
fl-4.0-structure-122,-4.0,0.0
fl-4.0-structure-122,-3.0,0.0
fl-4.0-structure-122,-2.0,4.0
fl-4.0-structure-122,-1.0,8.0
fl-4.0-structure-122,0.0,13.0
fl-4.0-structure-122,1.0,15.0
fl-4.0-structure-122,2.0,20.0
fl-4.0-structure-122,3.0,23.0
