curve_id,key,value
fl-6.1-contents-358,hazus_default_flag,1.0
fl-6.1-contents-384,hazus_default_flag,1.0
fl-6.1-contents-408,hazus_default_flag,1.0
fl-6.1-contents-433,hazus_default_flag,1.0
fl-6.1-contents-442,hazus_default_flag,1.0
fl-6.1-contents-442,comment,IND3 default
fl-6.1-contents-443,hazus_default_flag,1.0
fl-6.1-contents-460,hazus_default_flag,1.0
fl-6.1-contents-467,hazus_default_flag,1.0
fl-6.1-contents-472,hazus_default_flag,1.0
fl-6.1-contents-477,hazus_default_flag,1.0
fl-6.1-contents-480,hazus_default_flag,1.0
fl-6.1-contents-485,hazus_default_flag,1.0
fl-6.1-contents-485,comment,EDU1 default
fl-6.1-contents-488,hazus_default_flag,1.0
fl-6.1-contents-488,comment,RAMPP Inserted
fl-6.1-contents-489,hazus_default_flag,1.0
fl-6.1-contents-489,comment,RAMPP Inserted
fl-6.1-contents-490,hazus_default_flag,1.0
fl-6.1-contents-490,comment,RAMPP Inserted
fl-6.1-contents-491,comment,RAMPP Inserted
fl-6.1-contents-492,comment,RAMPP Inserted
fl-6.1-contents-493,comment,RAMPP Inserted
fl-6.1-contents-494,comment,RAMPP Inserted
fl-6.1-contents-495,comment,RAMPP Inserted
fl-6.1-contents-496,comment,RAMPP Inserted
fl-6.1-contents-497,hazus_default_flag,1.0
fl-6.1-contents-497,comment,RAMPP Inserted
fl-6.1-contents-498,comment,RAMPP Inserted
fl-6.1-contents-499,comment,RAMPP Inserted
fl-6.1-contents-500,comment,RAMPP Inserted
fl-6.1-contents-501,comment,RAMPP Inserted
fl-6.1-contents-502,comment,RAMPP Inserted
fl-6.1-contents-503,comment,RAMPP Inserted
fl-6.1-contents-504,comment,RAMPP Inserted
fl-6.1-contents-505,comment,RAMPP Inserted
fl-6.1-contents-506,comment,RAMPP Inserted
fl-6.1-contents-507,comment,RAMPP Inserted
fl-6.1-contents-508,comment,RAMPP Inserted
fl-6.1-contents-509,comment,RAMPP Inserted
fl-6.1-contents-510,comment,RAMPP Inserted
fl-6.1-contents-511,comment,RAMPP Inserted
fl-6.1-contents-512,comment,RAMPP Inserted
fl-6.1-contents-513,comment,RAMPP Inserted
fl-6.1-contents-514,comment,RAMPP Inserted
fl-6.1-contents-515,comment,RAMPP Inserted
fl-6.1-contents-516,comment,RAMPP Inserted
fl-6.1-contents-517,comment,RAMPP Inserted
fl-6.1-contents-518,comment,RAMPP Inserted
fl-6.1-contents-519,comment,RAMPP Inserted
fl-6.1-contents-520,comment,RAMPP Inserted
fl-6.1-contents-521,comment,RAMPP Inserted
fl-6.1-contents-522,comment,RAMPP Inserted
fl-6.1-contents-523,comment,RAMPP Inserted
fl-6.1-contents-524,comment,RAMPP Inserted
fl-6.1-contents-525,comment,RAMPP Inserted
fl-6.1-contents-526,comment,RAMPP Inserted
fl-6.1-contents-527,comment,RAMPP Inserted
fl-6.1-contents-528,comment,RAMPP Inserted
fl-6.1-contents-529,comment,RAMPP Inserted
fl-6.1-contents-530,comment,RAMPP Inserted
fl-6.1-contents-531,comment,RAMPP Inserted
fl-6.1-contents-532,comment,RAMPP Inserted
fl-6.1-contents-533,comment,RAMPP Inserted
fl-6.1-contents-535,hazus_default_flag,1.0
fl-6.1-contents-535,comment,RAMPP Inserted
fl-4.0-inventory-111,comment,IND3 default
fl-6.1-inventory-1,hazus_default_flag,1.0
fl-6.1-inventory-46,hazus_default_flag,1.0
fl-6.1-inventory-70,hazus_default_flag,1.0
fl-6.1-inventory-81,hazus_default_flag,1.0
fl-6.1-inventory-93,hazus_default_flag,1.0
fl-6.1-inventory-106,hazus_default_flag,1.0
fl-6.1-inventory-111,hazus_default_flag,1.0
fl-6.1-inventory-111,comment,IND3 default
fl-6.1-inventory-112,hazus_default_flag,1.0
fl-6.1-inventory-116,hazus_default_flag,1.0
